Board, Players, Dice, Average Build Time, Average Game Time, Average Game Turns
10, 10, 6, 36, 2, 34
12, 10, 6, 18, 0, 45
14, 10, 6, 16, 1, 72
16, 10, 6, 17, 0, 96
18, 10, 6, 16, 0, 118
20, 10, 6, 16, 0, 160
22, 10, 6, 17, 0, 177
24, 10, 6, 17, 1, 216
26, 10, 6, 17, 1, 271
28, 10, 6, 17, 1, 314
30, 10, 6, 17, 1, 368
32, 10, 6, 16, 1, 434
34, 10, 6, 16, 0, 464
36, 10, 6, 16, 1, 538
38, 10, 6, 16, 0, 586
40, 10, 6, 16, 1, 647
42, 10, 6, 15, 1, 756
44, 10, 6, 16, 1, 845
46, 10, 6, 16, 0, 879
48, 10, 6, 15, 0, 966
50, 10, 6, 17, 1, 1044
52, 10, 6, 15, 1, 1163
54, 10, 6, 15, 2, 1231
56, 10, 6, 15, 2, 1297
58, 10, 6, 15, 2, 1364
60, 10, 6, 16, 2, 1533
62, 10, 6, 15, 2, 1621
64, 10, 6, 16, 3, 1714
66, 10, 6, 16, 3, 1837
68, 10, 6, 16, 3, 1988
70, 10, 6, 17, 3, 2106
72, 10, 6, 16, 3, 2270
74, 10, 6, 16, 4, 2360
76, 10, 6, 16, 4, 2469
78, 10, 6, 16, 4, 2577
80, 10, 6, 16, 4, 2761
82, 10, 6, 16, 5, 2900
84, 10, 6, 16, 5, 3054
86, 10, 6, 17, 6, 3180
88, 10, 6, 17, 6, 3349
90, 10, 6, 17, 6, 3514
92, 10, 6, 17, 7, 3637
94, 10, 6, 17, 7, 3888
96, 10, 6, 17, 7, 4013
98, 10, 6, 17, 8, 4241
100, 10, 6, 17, 7, 4307
125, 10, 6, 18, 10, 6853
150, 10, 6, 18, 14, 9947
175, 10, 6, 22, 20, 13508
200, 10, 6, 23, 27, 17717
225, 10, 6, 24, 29, 22483
250, 10, 6, 24, 34, 27950
275, 10, 6, 30, 50, 33754
300, 10, 6, 33, 58, 40615
325, 10, 6, 31, 53, 47310
350, 10, 6, 37, 66, 55100
375, 10, 6, 32, 63, 63043
400, 10, 6, 38, 75, 71648
425, 10, 6, 37, 80, 81235
450, 10, 6, 43, 94, 91008
475, 10, 6, 46, 104, 101321
500, 10, 6, 50, 109, 112019
525, 10, 6, 51, 127, 124319
550, 10, 6, 68, 145, 136157
575, 10, 6, 56, 144, 148845
600, 10, 6, 59, 161, 162104
625, 10, 6, 67, 175, 176189
650, 10, 6, 68, 192, 190620
675, 10, 6, 74, 198, 205290
700, 10, 6, 81, 214, 221019
725, 10, 6, 84, 231, 236851
750, 10, 6, 92, 251, 253652
775, 10, 6, 89, 271, 270629
800, 10, 6, 98, 283, 289034
825, 10, 6, 102, 304, 307054
850, 10, 6, 109, 317, 326429
875, 10, 6, 113, 339, 345851
900, 10, 6, 115, 365, 365997
925, 10, 6, 147, 402, 385994
950, 10, 6, 155, 438, 407145
975, 10, 6, 187, 458, 429120
1000, 10, 6, 144, 486, 451644
1250, 10, 6, 231, 743, 706231
1500, 10, 6, 331, 1143, 1018518
1750, 10, 6, 408, 1567, 1384789
2000, 10, 6, 542, 2209, 1810346
2250, 10, 6, 656, 2708, 2291553
2500, 10, 6, 886, 4067, 2827749
2750, 10, 6, 1128, 4857, 3423429
3000, 10, 6, 1492, 5340, 4074997
3250, 10, 6, 1823, 6417, 4785552
3500, 10, 6, 2031, 7495, 5549998
3750, 10, 6, 2907, 7798, 6369619
4000, 10, 6, 3077, 9090, 7246087
4250, 10, 6, 3309, 10546, 8184020
4500, 10, 6, 3999, 11544, 9173476
4750, 10, 6, 4102, 13008, 10221911
5000, 10, 6, 4862, 14833, 11321361
5250, 10, 6, 5143, 17488, 12487322
5500, 10, 6, 5113, 19926, 13704142
5750, 10, 6, 7083, 20119, 14980435
6000, 10, 6, 8946, 21307, 16315207
6250, 10, 6, 9225, 25212, 17699873
6500, 10, 6, 9983, 28021, 19146854
6750, 10, 6, 10666, 31939, 20639287
